tmin,tmax,nbins,model,tau,etau,dev_over_ndf,rms_rD,nll
0.40000000,12.00000000,150,ExpBkg,1.98159613,0.03435906,1.71382118,1.29561224,125.96585600
0.40000000,12.00000000,200,ExpBkg,1.98138370,0.03435278,1.52834997,1.22653517,150.54247286
0.40000000,12.00000000,250,ExpBkg,1.98149917,0.03435641,1.58930259,1.25248764,196.27886974
0.40000000,12.00000000,300,ExpBkg,1.98150256,0.03435347,1.46880910,1.20518575,218.11815339
0.40000000,12.00000000,400,ExpBkg,1.98095425,0.03434245,1.28842815,1.13006546,255.75298635
0.40000000,15.00000000,150,ExpBkg,1.99535827,0.03068673,1.52371155,1.22157428,111.99279800
0.40000000,15.00000000,200,ExpBkg,1.99421463,0.03067648,1.46261966,1.19986617,144.06803771
0.40000000,15.00000000,250,ExpBkg,1.99351164,0.03066552,1.50175912,1.21751139,185.46725189
0.40000000,15.00000000,300,ExpBkg,1.99489731,0.03068499,1.39944634,1.17641814,207.81778156
0.40000000,15.00000000,400,ExpBkg,1.99375926,0.03067135,1.47880002,1.21053058,293.54180298
0.40000000,18.00000000,150,ExpBkg,1.99557205,0.02880976,1.51538313,1.21832617,111.38065956
0.40000000,18.00000000,200,ExpBkg,1.99423411,0.02878312,1.35525288,1.15501314,133.49241003
0.40000000,18.00000000,250,ExpBkg,1.99387356,0.02877817,1.41787847,1.18312393,175.10799005
0.40000000,18.00000000,300,ExpBkg,1.99491457,0.02878452,1.26536031,1.11871465,187.90600684
0.40000000,18.00000000,400,ExpBkg,1.99435042,0.02878152,1.35710480,1.15977391,269.38530403
0.40000000,20.00000000,150,ExpBkg,2.02194638,0.02858302,1.91995631,1.37118040,141.11678958
0.40000000,20.00000000,200,ExpBkg,2.02200840,0.02859194,1.58885842,1.25042865,156.50255391
0.40000000,20.00000000,250,ExpBkg,2.02097114,0.02857476,1.62125341,1.26493569,200.22479696
0.40000000,20.00000000,300,ExpBkg,2.02029739,0.02856553,1.43219142,1.19006125,212.68042551
0.40000000,20.00000000,400,ExpBkg,2.02194889,0.02858144,1.46546791,1.20503347,290.89537847
0.60000000,12.00000000,150,ExpBkg,2.01851747,0.03819772,1.35864820,1.15354628,99.86064473
0.60000000,12.00000000,200,ExpBkg,2.01938321,0.03821395,1.36723588,1.16003594,134.67273701
0.60000000,12.00000000,250,ExpBkg,2.01860912,0.03819577,1.34417354,1.15183015,166.00543400
0.60000000,12.00000000,300,ExpBkg,2.01839227,0.03819196,1.36652513,1.16235876,202.92898144
0.60000000,12.00000000,400,ExpBkg,2.01915138,0.03820762,1.37649896,1.16786097,273.23504070
0.60000000,15.00000000,150,ExpBkg,2.02757911,0.03376539,1.43712411,1.18635039,105.62862138
0.60000000,15.00000000,200,ExpBkg,2.02798511,0.03376407,1.31878563,1.13929643,129.90038469
